"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg24262066,0.47,0.043,0.97,1.00,chr21,28217060,ADAMTS1,1stExon,,
cg19445684,-0.16,0.043,0.97,1.00,chr5,142077529,FGF1;FGF1;FGF1;FGF1;FGF1;FGF1,5'UTR;5'UTR;Body;Body;1stExon;1stExon,,
cg19483159,-0.33,0.043,0.97,1.00,chr6,159066182,DYNLT1,TSS1500,,
cg17068070,0.12,0.043,0.97,1.00,chr7,139227165,CLEC2L,Body,,
cg19267252,0.20,0.043,0.97,1.00,chr2,105459317,,,,
cg26619317,0.17,0.043,0.97,1.00,chr1,95392389,CNN3,Body,,
cg16848984,0.15,0.043,0.97,1.00,chr13,50511021,C13orf1;C13orf1;C13orf1,TSS1500;TSS1500;TSS1500,,
cg18001427,0.30,0.043,0.97,1.00,chr21,30391784,RWDD2B,TSS200,,
cg22506059,0.16,0.043,0.97,1.00,chr22,37916157,CARD10,TSS1500,,
cg08794157,0.09,0.043,0.97,1.00,chr17,15164627,PMP22;PMP22;PMP22,5'UTR;TSS1500;5'UTR,,
cg18275620,-0.19,0.043,0.97,1.00,chr6,110591226,C6orf186,Body,,
cg23164850,-0.18,0.043,0.97,1.00,chr17,79495348,FSCN2;FSCN2,TSS200;TSS200,,
cg07529657,0.23,0.043,0.97,1.00,chr13,93878969,GPC6,TSS200,,
cg00532890,0.25,0.043,0.97,1.00,chr1,164528682,PBX1,TSS200,,
cg05314350,0.16,0.043,0.97,1.00,chr6,28874702,TRIM27,Body,,
cg05687091,0.11,0.043,0.97,1.00,chr18,77218862,NFATC1;NFATC1;NFATC1;NFATC1;NFATC1,Body;Body;Body;Body;Body,,
cg04915300,0.14,0.043,0.97,1.00,chr2,157314925,GPD2;GPD2,5'UTR;5'UTR,,
cg13450944,0.12,0.043,0.97,1.00,chr3,66533056,LRIG1,Body,,
cg10897459,-0.17,0.043,0.97,1.00,chr7,73237042,,,,
cg08022502,-0.16,0.043,0.97,1.00,chr15,91479023,UNC45A;UNC45A,Body;Body,,
cg12795368,0.16,0.043,0.97,1.00,chr11,57103544,SSRP1,TSS200,,
cg08024109,0.12,0.043,0.97,1.00,chr3,197409951,KIAA0226;KIAA0226,Body;Body,,
cg27060355,-0.19,0.043,0.97,1.00,chr2,40590871,SLC8A1;SLC8A1;SLC8A1;SLC8A1,Body;Body;Body;Body,,
cg04297406,0.14,0.043,0.97,1.00,chr4,16609513,LDB2;LDB2,Body;Body,,
cg10174849,0.10,0.043,0.97,1.00,chr17,27032704,PROCA1,Body,,
cg13724732,-0.19,0.043,0.97,1.00,chr2,53731598,,,,
cg18996910,0.38,0.043,0.97,1.00,chr17,77020220,C1QTNF1;C1QTNF1,TSS200;TSS200,,
cg18621256,-0.10,0.043,0.97,1.00,chr10,119221444,,,,
cg07006183,0.10,0.043,0.97,1.00,chr6,42374380,TRERF1,5'UTR,,
cg07622404,0.20,0.043,0.97,1.00,chr3,101497844,FAM55C;FAM55C,TSS1500;TSS200,,
cg13655635,0.24,0.043,0.97,1.00,chr9,102588232,NR4A3;NR4A3;NR4A3;NR4A3,5'UTR;5'UTR;5'UTR;TSS1500,,
cg14477581,-0.27,0.043,0.97,1.00,chr9,72899321,SMC5,Body,,
cg20183519,-0.19,0.043,0.97,1.00,chr3,109550978,,,,
cg22858500,-0.17,0.043,0.97,1.00,chr10,18629006,CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2,Body;Body;Body;Body;Body;Body;TSS1500;Body,,
cg18722790,0.30,0.043,0.97,1.00,chr4,95678898,BMPR1B,TSS1500,,
cg16459364,0.26,0.043,0.97,1.00,chr8,24771125,NEFM;NEFM,TSS200;TSS1500,,
cg01067326,-0.18,0.043,0.97,1.00,chr17,7983706,ALOX12B,Body,,
cg04103918,0.18,0.043,0.97,1.00,chr17,4726687,PLD2,3'UTR,,
cg02455571,0.37,0.043,0.97,1.00,chr1,162175014,NOS1AP;NOS1AP,Body;Body,,
cg00034376,0.14,0.043,0.97,1.00,chr2,64068959,UGP2;UGP2,TSS200;5'UTR,,
cg08996805,-0.32,0.043,0.97,1.00,chr3,11010256,,,,
cg04559159,0.17,0.043,0.97,1.00,chr8,99165228,POP1;POP1;POP1,Body;Body;Body,,
cg23193639,0.29,0.043,0.97,1.00,chr7,45961078,IGFBP3;IGFBP3,TSS1500;TSS1500,,
cg16574643,0.15,0.043,0.97,1.00,chr5,1253879,TERT;TERT,Body;Body,,
cg10451078,0.32,0.043,0.97,1.00,chr8,11560851,GATA4,TSS1500,,
cg12513880,0.23,0.043,0.97,1.00,chr12,115136298,,,,
cg14499413,0.29,0.043,0.97,1.00,chr3,10749947,,,,
cg22574825,0.42,0.043,0.97,1.00,chr13,29068987,FLT1;FLT1;FLT1;FLT1;FLT1;FLT1;FLT1;FLT1,1stExon;5'UTR;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR,,
cg16586807,-0.13,0.043,0.97,1.00,chr7,2948081,CARD11,Body,,
cg25903143,-0.16,0.043,0.97,1.00,chr11,68920466,,,,
cg10010480,0.34,0.043,0.97,1.00,chr6,33160969,COL11A2;COL11A2;COL11A2;COL11A2,TSS1500;TSS1500;TSS1500;TSS1500,,
cg05951776,0.15,0.043,0.97,1.00,chr1,10568783,PEX14,Body,,
cg08052629,-0.17,0.043,0.97,1.00,chr19,38746615,PPP1R14A,Body,,
cg20053885,-0.13,0.043,0.97,1.00,chr12,101988604,MYBPC1;MYBPC1;MYBPC1;MYBPC1,TSS200;TSS200;TSS200;TSS200,,
cg09910876,0.14,0.043,0.97,1.00,chr16,85482530,,,,
cg05065948,0.11,0.043,0.97,1.00,chr4,26275089,,,,
cg22775123,-0.13,0.043,0.97,1.00,chr6,39761595,DAAM2,5'UTR,,
cg23502966,0.32,0.043,0.97,1.00,chr3,195789749,TFRC;TFRC,Body;Body,,
cg13964030,0.09,0.043,0.97,1.00,chr10,118926672,,,,
cg26812481,-0.17,0.043,0.97,1.00,chr1,25976496,MAN1C1,Body,,
cg21181474,-0.21,0.043,0.97,1.00,chr9,139396047,NOTCH1,Body,,
cg26917697,0.15,0.043,0.97,1.00,chr16,1160677,,,,
cg08402365,0.16,0.043,0.97,1.00,chr2,172945274,MAP1D,3'UTR,,
cg18009484,-0.32,0.043,0.97,1.00,chr11,131630593,NTM,Body,,
cg03401034,-0.16,0.043,0.97,1.00,chr1,3205543,PRDM16;PRDM16,Body;Body,,
cg11265958,0.18,0.043,0.97,1.00,chr15,96909896,,,,
cg04104695,-0.11,0.043,0.97,1.00,chr5,139058749,CXXC5,5'UTR,,
cg14186944,-0.30,0.043,0.97,1.00,chr9,98335074,,,,
cg26612156,-0.17,0.043,0.97,1.00,chr13,43407068,,,,
cg27359472,-0.20,0.043,0.97,1.00,chr6,29342286,OR12D3,1stExon,,
cg11173332,0.13,0.043,0.97,1.00,chr5,139117580,,,,
cg16599901,-0.10,0.043,0.97,1.00,chr7,100210097,MOSPD3;MOSPD3;MOSPD3;MOSPD3;MOSPD3,TSS200;1stExon;TSS200;5'UTR;5'UTR,,
cg02255871,0.18,0.043,0.97,1.00,chr18,46067528,KIAA0427;KIAA0427,5'UTR;5'UTR,,
cg09329407,-0.10,0.043,0.97,1.00,chr1,19054906,PAX7;PAX7;PAX7,Body;Body;Body,,
cg12572049,0.27,0.043,0.97,1.00,chr4,81106414,PRDM8,TSS200,,
cg00218415,0.11,0.043,0.97,1.00,chr20,60586720,TAF4,Body,,
cg17644867,-0.15,0.043,0.97,1.00,chr14,75746076,FOS,Body,,
cg17630138,-0.19,0.043,0.97,1.00,chr3,155031033,,,,
cg25761955,-0.18,0.043,0.97,1.00,chr20,61679122,,,,
cg05999189,-0.22,0.043,0.97,1.00,chr20,18545071,,,,
cg00049883,-0.14,0.043,0.97,1.00,chr16,5554273,,,,
cg09030848,-0.19,0.043,0.97,1.00,chr14,104194626,ZFYVE21,Body,,
cg25735887,0.40,0.043,0.97,1.00,chr7,64408131,,,,
cg01590848,0.13,0.043,0.97,1.00,chr19,39997622,DLL3;DLL3,Body;Body,,
cg10669424,0.17,0.043,0.97,1.00,chr3,11763340,VGLL4,TSS1500,,
cg20615117,-0.13,0.043,0.97,1.00,chr11,121370102,SORL1,Body,,
cg16993911,-0.23,0.043,0.97,1.00,chr10,5638431,,,,
cg16622863,0.32,0.043,0.97,1.00,chr3,169387280,,,,
cg12256070,0.14,0.043,0.97,1.00,chr11,45820489,,,,
cg03837827,0.14,0.043,0.97,1.00,chr5,179050722,HNRNPH1,TSS200,,
cg03643345,-0.13,0.043,0.97,1.00,chr16,73207335,,,,
cg02110776,-0.18,0.043,0.97,1.00,chr17,983522,ABR;ABR;ABR,Body;Body;Body,,
cg06302163,-0.21,0.043,0.97,1.00,chr6,170424271,,,,
cg16126137,0.18,0.043,0.97,1.00,chr14,101367300,MEG8,Body,,
cg09590094,0.32,0.043,0.97,1.00,chr22,18506583,MICAL3;MICAL3;MICAL3,5'UTR;5'UTR;5'UTR,,
cg06720244,0.17,0.043,0.97,1.00,chr13,46543102,ZC3H13,Body,,
cg08246632,0.13,0.043,0.97,1.00,chr12,132396826,ULK1,Body,,
cg22823146,0.29,0.043,0.97,1.00,chr3,71802594,EIF4E3;EIF4E3;GPR27,5'UTR;5'UTR;TSS1500,,
cg00443094,-0.15,0.043,0.97,1.00,chr4,1771149,,,,
cg17566394,-0.13,0.043,0.97,1.00,chr12,48597758,OR10AD1,TSS1500,,
cg08336604,-0.20,0.043,0.97,1.00,chr12,93809819,UBE2N,Body,,
cg02656169,0.17,0.043,0.97,1.00,chr12,121792898,ANAPC5,TSS1500,,
cg25554557,-0.20,0.043,0.97,1.00,chr8,80580478,,,,
cg18417954,0.41,0.043,0.97,1.00,chr19,55672513,C19orf51,Body,,
cg01782487,-0.21,0.043,0.97,1.00,chr1,43283185,CCDC23;ERMAP,TSS200;5'UTR,,
cg20340655,0.15,0.043,0.97,1.00,chr11,27723075,BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF,TSS1500;Body;5'UTR;TSS1500;5'UTR;5'UTR;5'UTR;1stExon;TSS1500;TSS1500;TSS1500;TSS1500;5'UTR;TSS1500;TSS1500,,
cg09673200,-0.16,0.043,0.97,1.00,chr6,31803103,C6orf48;C6orf48,5'UTR;5'UTR,,
cg00951597,0.17,0.043,0.97,1.00,chr1,162039149,NOS1AP;NOS1AP,TSS1500;TSS1500,,
cg26327040,-0.14,0.043,0.97,1.00,chr12,131561080,GPR133,Body,,
cg13843773,0.20,0.043,0.97,1.00,chr4,81256811,C4orf22,TSS200,,
cg17870688,-0.17,0.043,0.97,1.00,chr2,182753233,,,,
cg03651493,0.23,0.043,0.97,1.00,chr5,32714243,NPR3,Body,,
cg00328051,0.20,0.043,0.97,1.00,chr14,102026812,DIO3;MIR1247,TSS1500;TSS200,,
cg15836199,0.30,0.043,0.97,1.00,chr1,2302005,MORN1,Body,,
cg04420907,0.12,0.043,0.97,1.00,chr17,9480215,WDR16;WDR16;STX8,Body;Body;TSS1500,,
cg13152070,0.10,0.043,0.97,1.00,chr7,73101343,WBSCR22,Body,,
cg22882523,-0.27,0.043,0.97,1.00,chr8,145107012,OPLAH,Body,,
cg19561076,-0.20,0.043,0.97,1.00,chr2,17241353,,,,
cg26492631,-0.19,0.043,0.97,1.00,chr4,148721238,ARHGAP10,Body,,
cg12467264,0.30,0.043,0.97,1.00,chr5,175200071,,,,
cg08294772,-0.14,0.043,0.97,1.00,chr8,138135392,,,,
cg08224212,0.11,0.043,0.97,1.00,chr11,34196093,ABTB2,Body,,
cg00831929,0.15,0.043,0.97,1.00,chr1,11919018,NPPB,TSS200,,
cg08036492,0.16,0.043,0.97,1.00,chr17,13976536,COX10,Body,,
cg16126458,0.62,0.043,0.97,1.00,chr1,19615370,AKR7A3,TSS200,,
cg08363673,0.12,0.043,0.97,1.00,chr5,125969516,C5orf48,Body,,
cg15963988,-0.22,0.043,0.97,1.00,chr4,15895695,,,,
cg06657050,0.19,0.043,0.97,1.00,chr15,53083587,ONECUT1,TSS1500,,
cg25516235,0.10,0.043,0.97,1.00,chr5,151172969,G3BP1;G3BP1,Body;Body,,
cg01945841,0.09,0.043,0.97,1.00,chr6,13813278,CCDC90A,Body,,
cg06672737,0.14,0.043,0.97,1.00,chr4,778827,CPLX1,3'UTR,,
cg24717061,0.11,0.043,0.97,1.00,chr10,102978443,,,,
cg18192491,-0.14,0.043,0.97,1.00,chr6,114384871,HS3ST5,TSS1500,,
cg19097265,-0.13,0.043,0.97,1.00,chr3,112805279,,,,
cg01198434,-0.24,0.043,0.97,1.00,chr7,38409725,,,,
cg23739525,-0.12,0.043,0.97,1.00,chr7,129849144,C7orf45,Body,,
cg03254818,-0.12,0.043,0.97,1.00,chr6,169586852,,,,
cg25469234,0.16,0.043,0.97,1.00,chr3,160822711,B3GALNT1;B3GALNT1;B3GALNT1;B3GALNT1;B3GALNT1,5'UTR;5'UTR;5'UTR;TSS200;5'UTR,,
cg12508392,0.15,0.043,0.97,1.00,chr6,32135285,EGFL8,Body,,
cg22802813,0.33,0.043,0.97,1.00,chr12,95942761,USP44;USP44,TSS200;5'UTR,,
cg14063104,-0.10,0.043,0.97,1.00,chr17,27920379,ANKRD13B,TSS200,,
cg05850869,0.09,0.043,0.97,1.00,chr12,133308364,ANKLE2,Body,,
cg01749742,-0.20,0.043,0.97,1.00,chr2,18944047,,,,
cg11091779,0.12,0.043,0.97,1.00,chr3,141042705,ZBTB38,TSS1500,,
cg12807187,-0.13,0.043,0.97,1.00,chr3,71778392,EIF4E3;EIF4E3;EIF4E3,TSS200;5'UTR;5'UTR,,
cg05031435,0.16,0.043,0.97,1.00,chr2,236869406,AGAP1;AGAP1,Body;Body,,
cg09149149,0.18,0.043,0.97,1.00,chr6,166401618,LOC441177;C6orf176;C6orf176,Body;TSS200;TSS200,,
cg11821796,-0.17,0.043,0.97,1.00,chr11,67084644,LOC100130987,TSS1500,,
cg10547843,0.10,0.043,0.97,1.00,chr7,99601692,,,,
cg19477978,-0.14,0.043,0.97,1.00,chr17,16998439,MPRIP;MPRIP,Body;Body,,
cg14142977,0.15,0.043,0.97,1.00,chr9,133758489,ABL1;ABL1,Body;Body,,
cg17862275,0.09,0.043,0.97,1.00,chr15,89425443,HAPLN3,Body,,
cg15251697,-0.17,0.043,0.97,1.00,chr17,4265805,UBE2G1,Body,,
cg13266773,0.17,0.043,0.97,1.00,chr8,104310380,FZD6;FZD6;FZD6,TSS1500;TSS1500;TSS1500,,
cg23072383,-0.20,0.043,0.97,1.00,chr22,31031044,SLC35E4,TSS1500,,
cg03007522,0.34,0.043,0.97,1.00,chr8,11562685,GATA4,5'UTR,,
cg04394763,0.19,0.043,0.97,1.00,chr1,153918716,DENND4B,5'UTR,,
cg08729135,0.23,0.043,0.97,1.00,chr21,44073555,PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,,
cg19851029,0.21,0.043,0.97,1.00,chr3,138669137,C3orf72,Body,,
cg13159325,0.13,0.043,0.97,1.00,chr8,27472446,CLU,TSS200,,
cg09610578,0.11,0.043,0.97,1.00,chr3,129407542,TMCC1;TMCC1;TMCC1,TSS200;Body;Body,,
cg01270424,0.19,0.043,0.97,1.00,chr2,237078509,,,,
cg24864511,0.31,0.043,0.97,1.00,chr1,6480516,HES2,TSS1500,,
cg10743102,-0.16,0.043,0.97,1.00,chr3,177055590,,,,
cg07271261,0.16,0.043,0.97,1.00,chr3,11610613,VGLL4;VGLL4;VGLL4;VGLL4,Body;Body;Body;TSS1500,,
cg15734911,0.18,0.043,0.97,1.00,chr6,84743364,MRAP2,TSS200,,
cg06530012,0.31,0.043,0.97,1.00,chr18,43651754,PSTPIP2,Body,,
cg08876826,0.11,0.043,0.97,1.00,chr19,35634102,FXYD7,TSS200,,
cg18912107,0.13,0.043,0.97,1.00,chr6,134288301,TBPL1,5'UTR,,
cg00352150,0.12,0.043,0.97,1.00,chr15,75939505,,,,
cg08942499,-0.13,0.043,0.97,1.00,chr1,2219932,SKI,Body,,
cg11730559,0.11,0.043,0.97,1.00,chr8,116506662,TRPS1,Body,,
cg02324249,-0.10,0.043,0.97,1.00,chr8,24473569,,,,
cg11130432,-0.14,0.043,0.97,1.00,chr3,121712080,ILDR1,Body,,
cg21053831,0.34,0.043,0.97,1.00,chr18,4455512,,,,
cg21460402,0.23,0.043,0.97,1.00,chr11,8285031,LMO1;LMO1,1stExon;5'UTR,,
cg03208409,0.14,0.043,0.97,1.00,chr1,162531023,UAP1,TSS1500,,
cg00388673,-0.15,0.043,0.97,1.00,chr1,99729460,LPPR4;LPPR4,TSS1500;TSS1500,,
cg11846097,-0.17,0.043,0.97,1.00,chr21,38640053,DSCR3,TSS1500,,
cg02992596,-0.18,0.043,0.97,1.00,chr4,155702220,RBM46,TSS1500,,
cg14080967,0.34,0.043,0.97,1.00,chr9,8857491,PTPRD;PTPRD,5'UTR;5'UTR,,
cg17552869,0.13,0.043,0.97,1.00,chr3,42244001,TRAK1;TRAK1,Body;Body,,
cg16966815,0.27,0.043,0.97,1.00,chr1,77333122,ST6GALNAC5,TSS200,,
cg08026195,0.14,0.043,0.97,1.00,chr2,132559613,C2orf27B,TSS1500,,
cg27062571,-0.15,0.043,0.97,1.00,chr8,124890314,FER1L6,5'UTR,,
cg08506282,0.09,0.043,0.97,1.00,chr11,453143,PTDSS2,Body,,
cg08635064,-0.23,0.043,0.97,1.00,chr7,42273390,GLI3,5'UTR,,
cg15637781,0.13,0.043,0.97,1.00,chr4,79891402,,,,
cg11021317,-0.12,0.043,0.97,1.00,chr4,11471730,,,,
cg11321180,0.38,0.043,0.97,1.00,chr20,42839593,C20orf111,TSS200,,
cg13522279,0.18,0.043,0.97,1.00,chr2,144635077,,,,
cg01280913,-0.14,0.043,0.97,1.00,chr6,161186852,,,,
cg24627325,-0.16,0.043,0.97,1.00,chr3,101882326,,,,
cg10072237,0.31,0.043,0.97,1.00,chr6,33872861,,,,
cg23404528,0.17,0.043,0.97,1.00,chr2,238480887,,,,
cg14277403,-0.20,0.043,0.97,1.00,chr9,100748520,ANP32B,Body,,
cg15243856,-0.22,0.043,0.97,1.00,chr20,43935462,MATN4;MATN4;RBPJL;MATN4,5'UTR;5'UTR;TSS200;5'UTR,,
cg26909613,0.25,0.043,0.97,1.00,chr7,8124545,GLCCI1,Body,,
cg03995852,0.16,0.043,0.97,1.00,chr6,32812410,PSMB8;PSMB8;PSMB8,5'UTR;TSS1500;1stExon,,
cg07105440,-0.18,0.043,0.97,1.00,chr3,50648946,CISH;CISH,Body;5'UTR,,
cg16460681,0.23,0.043,0.97,1.00,chr7,45961794,IGFBP3;IGFBP3,TSS1500;TSS1500,,
cg01865118,-0.17,0.043,0.97,1.00,chr8,29204221,DUSP4;DUSP4,Body;5'UTR,,
cg11164145,0.16,0.043,0.97,1.00,chr17,37783689,PPP1R1B;PPP1R1B,1stExon;TSS1500,,
cg20769997,-0.18,0.043,0.97,1.00,chr13,98937982,FARP1,Body,,
cg11165158,0.16,0.043,0.97,1.00,chr16,86613094,FOXL1,1stExon,,
cg11059483,0.25,0.043,0.97,1.00,chr14,64760864,ESR2;ESR2;ESR2;ESR2;ESR2,1stExon;1stExon;5'UTR;5'UTR;5'UTR,,
cg04842934,-0.18,0.043,0.97,1.00,chr6,32757870,,,,
cg01085265,-0.12,0.043,0.97,1.00,chr4,37688416,RELL1;RELL1,TSS1500;TSS1500,,
cg20754034,-0.17,0.043,0.97,1.00,chr6,32066582,TNXB,5'UTR,,
cg12352347,-0.18,0.043,0.97,1.00,chr13,46785668,,,,
cg07017331,0.18,0.043,0.97,1.00,chr2,119769455,,,,
cg20668275,0.30,0.043,0.97,1.00,chr10,134981801,KNDC1,Body,,
cg04024481,0.24,0.043,0.97,1.00,chr13,113752435,MCF2L;MCF2L,3'UTR;3'UTR,,
cg19118533,0.25,0.043,0.97,1.00,chr6,111927323,TRAF3IP2;TRAF3IP2;TRAF3IP2;TRAF3IP2;TRAF3IP2,1stExon;Body;5'UTR;1stExon;5'UTR,,
cg19070139,0.25,0.043,0.97,1.00,chr6,42928517,GNMT,1stExon,,
cg12755061,0.15,0.043,0.97,1.00,chr12,133281274,PXMP2,3'UTR,,
cg10180092,-0.19,0.043,0.97,1.00,chr3,171002363,TNIK;TNIK;TNIK;TNIK;TNIK;TNIK;TNIK;TNIK,Body;Body;Body;Body;Body;Body;Body;Body,,
cg21642224,-0.14,0.043,0.97,1.00,chr19,5536211,,,,
cg00951302,-0.14,0.043,0.97,1.00,chr6,166131985,,,,
cg07094440,0.11,0.043,0.97,1.00,chr2,71126524,VAX2,TSS1500,,
cg25166381,-0.10,0.043,0.97,1.00,chr11,110167568,RDX,TSS200,,
cg04550524,0.16,0.043,0.97,1.00,chr5,161494015,GABRG2;GABRG2;GABRG2,TSS1500;TSS1500;TSS1500,,
cg26146027,0.42,0.043,0.97,1.00,chr3,24536889,THRB;THRB;THRB,TSS1500;TSS1500;TSS1500,,
cg10293925,0.39,0.043,0.97,1.00,chr7,38670985,AMPH;AMPH;AMPH;AMPH,5'UTR;5'UTR;1stExon;1stExon,,
cg20986608,0.20,0.043,0.97,1.00,chr11,65733627,SART1,Body,,
cg11010122,-0.23,0.043,0.97,1.00,chr4,100868318,DNAJB14,TSS1500,,
cg00061520,-0.29,0.043,0.97,1.00,chr16,4070371,ADCY9,Body,,
cg08545312,0.27,0.043,0.97,1.00,chr3,172096023,FNDC3B;FNDC3B,Body;Body,,
cg03325733,0.18,0.043,0.97,1.00,chr6,146864759,RAB32,TSS200,,
cg23645476,0.51,0.043,0.97,1.00,chr1,110282472,GSTM3;GSTM3,Body;Body,,
cg02886408,0.28,0.043,0.97,1.00,chr10,133796164,BNIP3,TSS1500,,
cg03054576,0.14,0.043,0.97,1.00,chr11,118016366,SCN4B;SCN4B;SCN4B;SCN4B,TSS200;Body;Body;TSS200,,
cg00136947,0.11,0.043,0.97,1.00,chr12,45270333,NELL2;NELL2;NELL2;NELL2;NELL2,Body;Body;TSS1500;TSS200;TSS200,,
cg17971306,-0.19,0.043,0.97,1.00,chr12,28343290,,,,
cg25919221,-0.14,0.043,0.97,1.00,chr1,9006680,CA6,Body,,
cg20398880,0.33,0.043,0.97,1.00,chr6,41068722,NFYA;NFYA;LOC221442,3'UTR;3'UTR;TSS200,,
cg01885859,0.16,0.043,0.97,1.00,chr5,153569823,GALNT10,TSS1500,,
cg10120040,-0.13,0.043,0.97,1.00,chr20,43108769,TTPAL;TTPAL,Body;Body,,
cg04715503,-0.43,0.043,0.97,1.00,chr16,3062795,CLDN9;CLDN9,1stExon;5'UTR,,
cg17152423,0.12,0.043,0.97,1.00,chr12,133065729,FBRSL1,TSS1500,,
cg05471009,0.12,0.043,0.97,1.00,chr11,57158970,PRG2,TSS1500,,
cg17887478,0.17,0.043,0.97,1.00,chr17,7486551,MPDU1;MPDU1,TSS1500;TSS1500,,
cg08458912,0.18,0.043,0.97,1.00,chr1,36644235,MAP7D1,Body,,
cg00917437,0.12,0.043,0.97,1.00,chr14,55879046,KIAA0831,TSS1500,,
cg25798122,0.18,0.043,0.97,1.00,chr13,75150072,,,,
cg18088360,-0.21,0.043,0.97,1.00,chr20,39322193,,,,
cg08870743,0.30,0.043,0.97,1.00,chr21,34398199,OLIG2,TSS200,,
cg00353330,-0.23,0.043,0.97,1.00,chr4,101715708,,,,
cg21565299,-0.31,0.043,0.97,1.00,chr7,151664071,GALNTL5;GALNTL5,5'UTR;Body,,
cg26277754,0.15,0.043,0.97,1.00,chr5,50673033,,,,
cg22064451,-0.18,0.043,0.97,1.00,chr12,49583496,TUBA1A,TSS1500,,
cg19632005,0.13,0.043,0.97,1.00,chr4,55092556,,,,
cg26664457,0.10,0.043,0.97,1.00,chr17,47394423,ZNF652;ZNF652,Body;Body,,
cg04138758,0.20,0.043,0.97,1.00,chr16,67047943,,,,
cg09317239,0.12,0.043,0.97,1.00,chr10,21818060,,,,
cg19406789,0.20,0.043,0.97,1.00,chr2,167622143,,,,
cg12103219,0.35,0.043,0.97,1.00,chr19,30165308,PLEKHF1,Body,,
cg15923947,0.28,0.043,0.97,1.00,chr1,2461929,HES5,TSS1500,,
cg25027501,0.26,0.043,0.97,1.00,chr1,110283223,GSTM3;GSTM3,Body;5'UTR,,
cg03832784,-0.21,0.043,0.97,1.00,chr5,139483760,,,,
cg03015942,-0.09,0.043,0.97,1.00,chr8,49229380,,,,
cg23279503,-0.21,0.043,0.97,1.00,chr8,35649016,UNC5D,3'UTR,,
cg18466340,0.22,0.043,0.97,1.00,chr20,50417476,SALL4,Body,,
cg09547226,0.14,0.043,0.97,1.00,chr19,5058863,KDM4B,Body,,
cg22584172,-0.14,0.043,0.97,1.00,chr6,56954677,ZNF451;ZNF451,TSS200;TSS200,,
cg26525313,-0.16,0.043,0.97,1.00,chr6,139466669,HECA,Body,,
cg06887407,-0.15,0.043,0.97,1.00,chr1,15086357,KIAA1026;KIAA1026,Body;Body,,
cg16724070,-0.21,0.043,0.97,1.00,chr1,183133736,,,,
cg27215475,0.17,0.043,0.97,1.00,chr7,4146971,SDK1,Body,,
cg00994643,0.18,0.043,0.97,1.00,chr8,23082826,TNFRSF10A,TSS200,,
cg18472185,0.17,0.043,0.97,1.00,chr4,169931806,CBR4,TSS1500,,
cg20306863,-0.30,0.043,0.97,1.00,chr1,3593812,TP73,5'UTR,,
cg04991958,0.16,0.043,0.97,1.00,chr10,33625494,,,,
cg00695265,0.09,0.043,0.97,1.00,chr7,98032586,,,,
cg04636876,-0.19,0.043,0.97,1.00,chr20,4702381,PRND,TSS200,,
cg12764441,-0.18,0.043,0.97,1.00,chr1,8662670,RERE;RERE,Body;Body,,
cg27438798,0.30,0.043,0.97,1.00,chr4,13546151,NKX3-2,TSS200,,
cg09192410,-0.13,0.043,0.97,1.00,chr7,107204195,COG5;DUS4L;COG5;COG5,Body;TSS1500;Body;Body,,
cg02168291,-0.18,0.043,0.97,1.00,chr16,82671520,CDH13,Body,,
cg12166435,-0.09,0.043,0.97,1.00,chr19,16940037,SIN3B,TSS200,,
cg15497818,-0.13,0.043,0.97,1.00,chr6,31603011,BAT2,Body,,
cg08737755,-0.17,0.043,0.97,1.00,chr12,54378815,HOXC10,TSS200,,
cg26015947,-0.16,0.043,0.97,1.00,chr19,41256731,C19orf54;SNRPA,TSS1500;TSS200,,
cg19602050,0.11,0.043,0.97,1.00,chr5,367976,AHRR,Body,,
cg17524170,-0.12,0.043,0.97,1.00,chr4,26323635,RBPJ;RBPJ;RBPJ;RBPJ,Body;Body;5'UTR;Body,,
cg03544426,-0.12,0.043,0.97,1.00,chr9,131038602,GOLGA2;C9orf119,TSS1500;1stExon,,
cg20477070,0.14,0.043,0.97,1.00,chr14,68086717,ARG2,1stExon,,
cg07217075,0.34,0.043,0.97,1.00,chr20,17511826,BFSP1;BFSP1,Body;1stExon,,
cg22636108,0.12,0.043,0.97,1.00,chr5,174148372,,,,
cg08311803,0.22,0.043,0.97,1.00,chr2,231854570,,,,
